Level,Date and Time,Source,Event ID,Task Category
Information,3/27/2023 7:42:48 AM,Microsoft-Windows-Windows Defender,1117,None,"Microsoft Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=HackTool:MSIL/SharpHound!MSR&threatid=2147814944&enterprise=0
 	Name: HackTool:MSIL/SharpHound!MSR
 	ID: 2147814944
 	Severity: High
 	Category: Tool
 	Path: containerfile:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip; file:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip->SharpHound.exe; webfile:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip|https://objects.githubusercontent.com/github-production-release-asset-2e65be/385323486/70d776cc-8f83-44d5-b226-2dccc4f7c1e3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A4.18.2302.7F202303274.18.2302.7Fus-east-14.18.2302.7Fs34.18.2302.7Faws4_request&X-Amz-Date=20230327T144228Z&X-Amz-Expires=300&X-Amz-Signature=f969ef5ca3eec150dc1e23623434adc1e4a444ba026423c32edf5e85d881a771&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=385323486&response-content-disposition=attachment{0EBC4BEA-5532-4EFB-8A34-64F91CC8702E}BDESKTOP-887GK2L\CyberJunkiefilename{0EBC4BEA-5532-4EFB-8A34-64F91CC8702E}DSharpHound-v1.1.0.zip&response-content-type=application4.18.2302.7Foctet-stream|pid:3532,ProcessStart:133244017530289775
 	Detection Origin: Internet
 	Detection Type: Concrete
 	Detection Source: Downloads and attachments
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x80508023
 	Error description: The program could not find the malware and other potentially unwanted software on this device. 
 	Security intelligence Version: AV: 1.385.1261.0, AS: 1.385.1261.0, NIS: 1.385.1261.0
 	Engine Version: AM: 1.1.20100.6, NIS: 1.1.20100.6"
Information,3/27/2023 7:42:48 AM,Microsoft-Windows-Windows Defender,1117,None,"Microsoft Defender Antivirus has taken action to protect this machine from malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=HackTool:MSIL/SharpHound!MSR&threatid=2147814944&enterprise=0
 	Name: HackTool:MSIL/SharpHound!MSR
 	ID: 2147814944
 	Severity: High
 	Category: Tool
 	Path: containerfile:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip; file:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip->SharpHound.exe; webfile:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip|https://objects.githubusercontent.com/github-production-release-asset-2e65be/385323486/70d776cc-8f83-44d5-b226-2dccc4f7c1e3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A4.18.2302.7F202303274.18.2302.7Fus-east-14.18.2302.7Fs34.18.2302.7Faws4_request&X-Amz-Date=20230327T144228Z&X-Amz-Expires=300&X-Amz-Signature=f969ef5ca3eec150dc1e23623434adc1e4a444ba026423c32edf5e85d881a771&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=385323486&response-content-disposition=attachment{0EBC4BEA-5532-4EFB-8A34-64F91CC8702E}BDESKTOP-887GK2L\CyberJunkiefilename{0EBC4BEA-5532-4EFB-8A34-64F91CC8702E}DSharpHound-v1.1.0.zip&response-content-type=application4.18.2302.7Foctet-stream|pid:3532,ProcessStart:133244017530289775
 	Detection Origin: Internet
 	Detection Type: Concrete
 	Detection Source: Downloads and attachments
 	User: NT AUTHORITY\SYSTEM
 	Process Name: Unknown
 	Action: Quarantine
 	Action Status:  No additional actions required
 	Error Code: 0x80508023
 	Error description: The program could not find the malware and other potentially unwanted software on this device. 
 	Security intelligence Version: AV: 1.385.1261.0, AS: 1.385.1261.0, NIS: 1.385.1261.0
 	Engine Version: AM: 1.1.20100.6, NIS: 1.1.20100.6"
Information,3/27/2023 7:42:34 AM,Microsoft-Windows-Windows Defender,5007,None,"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\ServiceStartStates = 0x1
 	New value: Default\ServiceStartStates = 0x0"
Warning,3/27/2023 7:42:34 AM,Microsoft-Windows-Windows Defender,1116,None,"Microsoft Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=HackTool:MSIL/SharpHound!MSR&threatid=2147814944&enterprise=0
 	Name: HackTool:MSIL/SharpHound!MSR
 	ID: 2147814944
 	Severity: High
 	Category: Tool
 	Path: containerfile:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip; file:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip->SharpHound.exe; webfile:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip|https://objects.githubusercontent.com/github-production-release-asset-2e65be/385323486/70d776cc-8f83-44d5-b226-2dccc4f7c1e3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A4.18.2302.7F202303274.18.2302.7Fus-east-14.18.2302.7Fs34.18.2302.7Faws4_request&X-Amz-Date=20230327T144228Z&X-Amz-Expires=300&X-Amz-Signature=f969ef5ca3eec150dc1e23623434adc1e4a444ba026423c32edf5e85d881a771&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=385323486&response-content-disposition=attachment{0EBC4BEA-5532-4EFB-8A34-64F91CC8702E}BDESKTOP-887GK2L\CyberJunkiefilename{0EBC4BEA-5532-4EFB-8A34-64F91CC8702E}DSharpHound-v1.1.0.zip&response-content-type=application4.18.2302.7Foctet-stream|pid:3532,ProcessStart:133244017530289775
 	Detection Origin: Internet
 	Detection Type: Concrete
 	Detection Source: Downloads and attachments
 	User: DESKTOP-887GK2L\CyberJunkie
 	Process Name: Unknown
 	Security intelligence Version: AV: 1.385.1261.0, AS: 1.385.1261.0, NIS: 1.385.1261.0
 	Engine Version: AM: 1.1.20100.6, NIS: 1.1.20100.6"
Warning,3/27/2023 7:42:34 AM,Microsoft-Windows-Windows Defender,1116,None,"Microsoft Defender Antivirus has detected malware or other potentially unwanted software.
 For more information please see the following:
https://go.microsoft.com/fwlink/?linkid=37020&name=HackTool:PowerShell/SharpHound.B&threatid=2147823920&enterprise=0
 	Name: HackTool:PowerShell/SharpHound.B
 	ID: 2147823920
 	Severity: High
 	Category: Tool
 	Path: containerfile:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip; file:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip->SharpHound.ps1; webfile:_C:\Users\CyberJunkie\Downloads\SharpHound-v1.1.0.zip|https://objects.githubusercontent.com/github-production-release-asset-2e65be/385323486/70d776cc-8f83-44d5-b226-2dccc4f7c1e3?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWNJYAX4CSVEH53A4.18.2302.7F202303274.18.2302.7Fus-east-14.18.2302.7Fs34.18.2302.7Faws4_request&X-Amz-Date=20230327T144228Z&X-Amz-Expires=300&X-Amz-Signature=f969ef5ca3eec150dc1e23623434adc1e4a444ba026423c32edf5e85d881a771&X-Amz-SignedHeaders=host&actor_id=0&key_id=0&repo_id=385323486&response-content-disposition=attachment{0EBC4BEA-5532-4EFB-8A34-64F91CC8702E}BDESKTOP-887GK2L\CyberJunkiefilename{0EBC4BEA-5532-4EFB-8A34-64F91CC8702E}DSharpHound-v1.1.0.zip&response-content-type=application4.18.2302.7Foctet-stream|pid:3532,ProcessStart:133244017530289775
 	Detection Origin: Internet
 	Detection Type: Concrete
 	Detection Source: Downloads and attachments
 	User: DESKTOP-887GK2L\CyberJunkie
 	Process Name: Unknown
 	Security intelligence Version: AV: 1.385.1261.0, AS: 1.385.1261.0, NIS: 1.385.1261.0
 	Engine Version: AM: 1.1.20100.6, NIS: 1.1.20100.6"
Information,3/27/2023 7:41:45 AM,Microsoft-Windows-Windows Defender,5007,None,"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\Exclusions\Paths\C:\ = 0x0
 	New value: "
Information,3/27/2023 7:37:18 AM,Microsoft-Windows-Windows Defender,5007,None,"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: 
 	New value: HKLM\SOFTWARE\Microsoft\Windows Defender\MpEngine\MpEngineRing = 0x4"
Information,3/27/2023 7:37:18 AM,Microsoft-Windows-Windows Defender,5007,None,"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: 
 	New value: HKLM\SOFTWARE\Microsoft\Windows Defender\MpEngine\MpCampRing = 0x4"
Information,3/27/2023 7:37:16 AM,Microsoft-Windows-Windows Defender,5007,None,"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\MpEngine\MpEngineRing = 0x4
 	New value: "
Information,3/27/2023 7:37:16 AM,Microsoft-Windows-Windows Defender,5007,None,"Microsoft Defender Antivirus Configuration has changed. If this is an unexpected event you should review the settings as this may be the result of malware.
 	Old value: HKLM\SOFTWARE\Microsoft\Windows Defender\MpEngine\MpCampRing = 0x4
 	New value: "
