Level,Date and Time,Source,Event ID,Task Category
Information,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4103,Executing Pipeline,"CommandInvocation(Set-StrictMode): ""Set-StrictMode""
ParameterBinding(Set-StrictMode): name=""Off""; value=""True""


Context:
        Severity = Informational
        Host Name = ConsoleHost
        Host Version = 5.1.19041.2673
        Host ID = 014a1fde-4c3a-4658-9521-5933850cff3e
        Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
        Engine Version = 5.1.19041.2673
        Runspace ID = d2a1cce6-8566-442d-a53b-d92bd22fa362
        Pipeline ID = 13
        Command Name = Set-StrictMode
        Command Type = Cmdlet
        Script Name = C:\Program Files\WindowsPowerShell\Modules\PSReadline\2.0.0\PSReadLine.psm1
        Command Path = 
        Sequence Number = 36
        User = DESKTOP-887GK2L\CyberJunkie
        Connected User = 
        Shell ID = Microsoft.PowerShell


User Data:

"
Verbose,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4104,Execute a Remote Command,"Creating Scriptblock text (1 of 1):
prompt

ScriptBlock ID: 040e087a-07e5-40ca-a7c9-f3e760d6f6c6
Path: "
Information,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4103,Executing Pipeline,"CommandInvocation(Out-Default): ""Out-Default""
ParameterBinding(Out-Default): name=""InputObject""; value=""@{Algorithm=MD5; Hash=36E606E249065E2BDFCA950DBB549C63; Path=C:\Users\CyberJunkie\Desktop\Automation-HTB.ps1}""


Context:
        Severity = Informational
        Host Name = ConsoleHost
        Host Version = 5.1.19041.2673
        Host ID = 014a1fde-4c3a-4658-9521-5933850cff3e
        Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
        Engine Version = 5.1.19041.2673
        Runspace ID = d2a1cce6-8566-442d-a53b-d92bd22fa362
        Pipeline ID = 11
        Command Name = 
        Command Type = Script
        Script Name = 
        Command Path = 
        Sequence Number = 34
        User = DESKTOP-887GK2L\CyberJunkie
        Connected User = 
        Shell ID = Microsoft.PowerShell


User Data:

"
Information,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4103,Executing Pipeline,"CommandInvocation(Get-FileHash): ""Get-FileHash""
ParameterBinding(Get-FileHash): name=""Algorithm""; value=""md5""
ParameterBinding(Get-FileHash): name=""Path""; value="".\Desktop\Automation-HTB.ps1""


Context:
        Severity = Informational
        Host Name = ConsoleHost
        Host Version = 5.1.19041.2673
        Host ID = 014a1fde-4c3a-4658-9521-5933850cff3e
        Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
        Engine Version = 5.1.19041.2673
        Runspace ID = d2a1cce6-8566-442d-a53b-d92bd22fa362
        Pipeline ID = 11
        Command Name = Get-FileHash
        Command Type = Function
        Script Name = 
        Command Path = 
        Sequence Number = 32
        User = DESKTOP-887GK2L\CyberJunkie
        Connected User = 
        Shell ID = Microsoft.PowerShell


User Data:

"
Information,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4103,Executing Pipeline,"CommandInvocation(GetStreamHash): ""GetStreamHash""
ParameterBinding(GetStreamHash): name=""InputStream""; value=""System.IO.FileStream""
ParameterBinding(GetStreamHash): name=""RelatedPath""; value=""C:\Users\CyberJunkie\Desktop\Automation-HTB.ps1""
ParameterBinding(GetStreamHash): name=""Hasher""; value=""System.Security.Cryptography.MD5CryptoServiceProvider""


Context:
        Severity = Informational
        Host Name = ConsoleHost
        Host Version = 5.1.19041.2673
        Host ID = 014a1fde-4c3a-4658-9521-5933850cff3e
        Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
        Engine Version = 5.1.19041.2673
        Runspace ID = d2a1cce6-8566-442d-a53b-d92bd22fa362
        Pipeline ID = 11
        Command Name = GetStreamHash
        Command Type = Function
        Script Name = C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1
        Command Path = 
        Sequence Number = 30
        User = DESKTOP-887GK2L\CyberJunkie
        Connected User = 
        Shell ID = Microsoft.PowerShell


User Data:

"
Information,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4103,Executing Pipeline,"CommandInvocation(Test-Path): ""Test-Path""
ParameterBinding(Test-Path): name=""LiteralPath""; value=""C:\Users\CyberJunkie\Desktop\Automation-HTB.ps1""
ParameterBinding(Test-Path): name=""PathType""; value=""Container""


Context:
        Severity = Informational
        Host Name = ConsoleHost
        Host Version = 5.1.19041.2673
        Host ID = 014a1fde-4c3a-4658-9521-5933850cff3e
        Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
        Engine Version = 5.1.19041.2673
        Runspace ID = d2a1cce6-8566-442d-a53b-d92bd22fa362
        Pipeline ID = 11
        Command Name = Test-Path
        Command Type = Cmdlet
        Script Name = C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1
        Command Path = 
        Sequence Number = 28
        User = DESKTOP-887GK2L\CyberJunkie
        Connected User = 
        Shell ID = Microsoft.PowerShell


User Data:

"
Information,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4103,Executing Pipeline,"CommandInvocation(Resolve-Path): ""Resolve-Path""
ParameterBinding(Resolve-Path): name=""Path""; value="".\Desktop\Automation-HTB.ps1""
CommandInvocation(ForEach-Object): ""ForEach-Object""
ParameterBinding(ForEach-Object): name=""MemberName""; value=""ProviderPath""
ParameterBinding(ForEach-Object): name=""InputObject""; value=""C:\Users\CyberJunkie\Desktop\Automation-HTB.ps1""


Context:
        Severity = Informational
        Host Name = ConsoleHost
        Host Version = 5.1.19041.2673
        Host ID = 014a1fde-4c3a-4658-9521-5933850cff3e
        Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
        Engine Version = 5.1.19041.2673
        Runspace ID = d2a1cce6-8566-442d-a53b-d92bd22fa362
        Pipeline ID = 11
        Command Name = Resolve-Path
        Command Type = Cmdlet
        Script Name = C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Utility\Microsoft.PowerShell.Utility.psm1
        Command Path = 
        Sequence Number = 26
        User = DESKTOP-887GK2L\CyberJunkie
        Connected User = 
        Shell ID = Microsoft.PowerShell


User Data:

"
Verbose,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4104,Execute a Remote Command,"Creating Scriptblock text (1 of 1):
Get-FileHash -Algorithm md5 .\Desktop\Automation-HTB.ps1

ScriptBlock ID: b4fcf72f-abdc-4a84-923f-8e06a758000b
Path: "
Information,3/27/2023 7:58:33 AM,Microsoft-Windows-PowerShell,4103,Executing Pipeline,"CommandInvocation(PSConsoleHostReadLine): ""PSConsoleHostReadLine""


Context:
        Severity = Informational
        Host Name = ConsoleHost
        Host Version = 5.1.19041.2673
        Host ID = 014a1fde-4c3a-4658-9521-5933850cff3e
        Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
        Engine Version = 5.1.19041.2673
        Runspace ID = d2a1cce6-8566-442d-a53b-d92bd22fa362
        Pipeline ID = 3
        Command Name = PSConsoleHostReadLine
        Command Type = Function
        Script Name = 
        Command Path = 
        Sequence Number = 24
        User = DESKTOP-887GK2L\CyberJunkie
        Connected User = 
        Shell ID = Microsoft.PowerShell


User Data:

"
Information,3/27/2023 7:58:31 AM,Microsoft-Windows-PowerShell,4103,Executing Pipeline,"CommandInvocation(Resolve-Path): ""Resolve-Path""
ParameterBinding(Resolve-Path): name=""ErrorAction""; value=""Ignore""
ParameterBinding(Resolve-Path): name=""WarningAction""; value=""Ignore""
ParameterBinding(Resolve-Path): name=""InformationAction""; value=""Ignore""
ParameterBinding(Resolve-Path): name=""Verbose""; value=""False""
ParameterBinding(Resolve-Path): name=""Debug""; value=""False""
ParameterBinding(Resolve-Path): name=""Path""; value="".\Desktop\aU*""


Context:
        Severity = Informational
        Host Name = ConsoleHost
        Host Version = 5.1.19041.2673
        Host ID = 014a1fde-4c3a-4658-9521-5933850cff3e
        Host Application = C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
        Engine Version = 5.1.19041.2673
        Runspace ID = d2a1cce6-8566-442d-a53b-d92bd22fa362
        Pipeline ID = 10
        Command Name = Resolve-Path
        Command Type = Cmdlet
        Script Name = 
        Command Path = 
        Sequence Number = 22
        User = DESKTOP-887GK2L\CyberJunkie
        Connected User = 
        Shell ID = Microsoft.PowerShell


User Data:

"
