Level,Date and Time,Source,Event ID,Task Category
Information,3/27/2023 8:01:56 AM,Microsoft-Windows-Eventlog,104,Log clear,The Microsoft-Windows-Windows Firewall With Advanced Security/Firewall log file was cleared.
Warning,3/27/2023 7:58:56 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name wpad timed out after none of the configured DNS servers responded.
Information,3/27/2023 7:57:42 AM,Microsoft-Windows-GroupPolicy,1502,None,The Group Policy settings for the computer were processed successfully. New settings from 1 Group Policy objects were detected and applied.
Information,3/27/2023 7:57:34 AM,Microsoft-Windows-GroupPolicy,1502,None,The Group Policy settings for the computer were processed successfully. New settings from 1 Group Policy objects were detected and applied.
Information,3/27/2023 7:56:44 AM,Microsoft-Windows-GroupPolicy,1502,None,The Group Policy settings for the computer were processed successfully. New settings from 1 Group Policy objects were detected and applied.
Information,3/27/2023 7:50:03 AM,Microsoft-Windows-GroupPolicy,1500,None,The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.
Warning,3/27/2023 7:42:34 AM,Microsoft-Windows-DistributedCOM,10016,None,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user DESKTOP-887GK2L\CyberJunkie SID (S-1-5-21-3393683511-3463148672-371912004-1001) from address LocalHost (Using LRPC) running in the application container Microsoft.Windows.ShellExperienceHost_10.0.19041.1949_neutral_neutral_cw5n1h2txyewy SID (S-1-15-2-155514346-2573954481-755741238-1654018636-1233331829-3075935687-2861478708). This security permission can be modified using the Component Services administrative tool."
Information,3/27/2023 7:41:35 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,3/27/2023 7:39:11 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/27/2023 7:39:11 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/27/2023 7:39:11 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
